#{"t_start": 1747792596.386986, "env_id": "None"}
r,l,t
56.735281,1,231.29934
56.732322,1,232.143731
56.71293,1,233.154276
56.725791,1,233.994038
56.740222,1,234.980335
56.738624,1,235.805083
56.739684,1,236.657545
56.731465,1,237.685824
56.73078,1,238.7483
56.739184,1,239.74172
56.740438,1,240.734989
56.72827,1,241.614262
56.749321,1,242.602316
56.730087,1,243.433656
56.730087,1,244.413074
56.742107,1,245.218715
56.739524,1,246.095789
56.739031,1,247.108619
56.721786,1,248.109004
56.704354,1,249.023838
56.74445,1,250.036186
56.707424,1,250.893364
56.716242,1,251.708715
56.733456,1,252.685827
56.734584,1,253.654497
56.74884,1,254.519922
56.723336,1,255.665499
56.762352,1,256.500269
56.762352,1,257.495321
56.737377,1,258.325896
56.74207,1,259.19096
56.75078,1,260.140626
56.764649,1,261.139778
56.726774,1,261.957877
56.715663,1,262.896554
56.710495,1,263.7815
56.74617,1,264.751382
56.754285,1,265.615022
56.721376,1,266.447535
56.721376,1,267.424311
56.74343,1,268.378694
56.720063,1,269.239528
56.737576,1,270.199502
56.72991,1,271.055902
56.746811,1,271.881715
56.742684,1,272.862572
56.732906,1,273.816863
56.768965,1,274.684576
56.755525,1,275.650791
56.750871,1,276.495954
56.750871,1,277.329442
56.737799,1,278.304749
56.74697,1,279.29058
56.711983,1,280.109273
56.748499,1,281.073161
56.722865,1,281.893342
56.730506,1,282.711221
56.757677,1,283.674396
56.75832,1,284.631605
56.731438,1,285.491607
56.731438,1,286.499516
56.703038,1,287.341851
56.734912,1,288.324725
56.733298,1,289.160988
56.730452,1,290.145252
56.751099,1,290.969658
56.761257,1,291.78043
56.72468,1,292.796583
56.701374,1,293.759488
56.725256,1,294.651296
56.720363,1,295.684362
56.722883,1,296.4957
56.722883,1,297.340409
56.741089,1,298.286312
56.724052,1,299.280286
56.727722,1,300.102484
56.729049,1,301.093335
56.740835,1,301.918441
56.744052,1,302.895822
56.724919,1,303.711498
56.713684,1,304.588055
56.713684,1,305.568055
56.73796,1,306.552686
56.725045,1,307.42477
56.758112,1,308.398777
56.729314,1,309.279749
56.727073,1,310.263611
56.733417,1,311.124221
56.741306,1,312.092688
56.737054,1,312.929188
56.736707,1,313.763387
56.709125,1,314.71552
56.743479,1,315.714771
56.724136,1,316.65221
56.730077,1,318.015245
56.717435,1,318.835226
56.730899,1,319.669564
56.710181,1,320.7679
56.762307,1,321.700118
56.729535,1,322.547703
56.729535,1,323.502723
56.724014,1,324.345938
56.722243,1,325.318622
56.722429,1,326.188017
56.718984,1,327.07387
56.747443,1,328.078129
56.718128,1,329.076846
56.73297,1,329.934738
56.740866,1,330.926708
56.736992,1,331.791995
56.730504,1,332.758005
56.750608,1,333.587016
56.750608,1,334.590269
56.742094,1,335.434484
56.742094,1,336.281393
56.767668,1,337.307256
56.740872,1,338.380002
56.72092,1,339.372273
56.737587,1,340.411919
56.740877,1,341.296295
56.755111,1,342.163745
56.725053,1,343.20834
56.735191,1,344.228273
56.716475,1,345.223149
56.741447,1,346.521109
56.713995,1,347.542002
56.744883,1,348.741883
56.72153,1,349.814598
56.746415,1,351.222675
56.723675,1,352.406645
56.731496,1,353.501833
56.7501,1,354.539493
56.720752,1,355.792827
56.739661,1,356.763188
56.74149,1,357.876809
56.74033,1,358.766011
56.73537,1,359.879713
56.723859,1,360.847041
56.72928,1,362.004167
56.745846,1,363.283982
56.731775,1,365.190182
56.737852,1,366.388476
56.701941,1,367.65312
56.744268,1,368.696023
56.755366,1,369.645971
56.731154,1,370.831594
56.730148,1,372.151861
56.725131,1,373.140566
56.750001,1,374.540958
56.752419,1,375.565678
56.738172,1,376.714388
56.73485,1,377.649206
56.738126,1,378.66631
56.712857,1,379.970296
56.736149,1,381.131232
56.744325,1,382.22153
56.723104,1,383.490935
56.73614,1,384.364334
56.730094,1,385.630472
56.717255,1,386.588614
56.725645,1,387.766646
56.732238,1,388.723629
56.75186,1,389.766027
56.705186,1,390.900653
56.734791,1,392.108093
56.773287,1,393.230726
56.723314,1,394.383554
56.728055,1,395.44392
56.749226,1,396.496623
56.769177,1,397.466849
56.735855,1,398.526468
56.718751,1,399.373128
56.733311,1,400.492143
56.731237,1,401.360228
56.73555,1,402.497169
56.768525,1,403.419988
56.700328,1,404.322198
56.752789,1,405.378737
56.752471,1,406.427207
56.736756,1,407.28364
56.732387,1,408.369658
56.743171,1,409.244266
56.738247,1,410.294165
56.756292,1,411.208524
56.739746,1,412.267629
56.722991,1,413.216757
56.748211,1,414.090804
56.764153,1,415.168597
56.731726,1,416.243467
56.704121,1,417.098234
56.730227,1,418.256046
56.740614,1,419.317
56.741042,1,420.22647
56.727105,1,421.270073
56.715398,1,422.321337
56.745904,1,423.271382
56.736858,1,424.337202
56.730704,1,425.374728
56.702678,1,426.387208
56.736008,1,427.324501
56.737122,1,428.20885
56.735628,1,429.335184
56.759534,1,430.385595
56.748072,1,431.291738
56.712247,1,432.35705
56.738318,1,433.365666
56.765928,1,434.492311
56.742729,1,435.444716
56.743603,1,436.485838
56.725,1,437.408813
56.715068,1,438.362097
56.739685,1,439.441076
56.74722,1,440.673148
56.733744,1,441.872965
56.746818,1,443.067834
56.716926,1,443.987637
56.747512,1,444.946895
56.722541,1,446.054889
56.737748,1,447.126394
56.744528,1,448.02698
56.726705,1,449.114972
56.726427,1,450.016136
56.736992,1,451.112256
56.728498,1,452.208745
56.715137,1,453.162451
56.758012,1,454.281902
56.73969,1,455.413079
56.739496,1,456.324717
56.72835,1,457.456588
56.758916,1,458.504237
56.741737,1,459.609095
56.723098,1,460.772126
56.750359,1,461.936029
56.751259,1,462.871595
56.743966,1,463.798183
56.743373,1,464.84252
56.724581,1,466.175959
56.732897,1,467.479349
56.735541,1,468.572158
56.75584,1,469.483532
56.752658,1,470.382243
56.756169,1,471.458517
56.77002,1,472.576766
56.744135,1,473.61648
56.737967,1,474.703673
56.731568,1,475.657618
56.698027,1,476.774978
56.723634,1,477.687167
56.720266,1,478.638859
56.724226,1,479.888924
56.742711,1,481.297206
56.71966,1,482.302341
56.717991,1,483.430115
56.757947,1,484.35469
56.72589,1,485.450805
56.753475,1,486.46193
56.755698,1,487.549554
56.719444,1,488.569289
56.732693,1,489.44064
56.728707,1,490.502685
56.732542,1,491.626892
56.73512,1,492.581363
56.73512,1,493.677484
56.749631,1,494.604966
56.748186,1,495.540255
56.748186,1,496.619543
56.750343,1,497.641082
56.726138,1,498.58404
56.726138,1,499.605176
56.7359,1,500.577278
56.7359,1,501.65541
56.737305,1,502.555948
56.737305,1,503.496986
56.745359,1,504.517219
56.738354,1,505.602196
56.691399,1,506.480478
56.691399,1,507.557445
56.733442,1,508.4953
56.734582,1,509.639028
56.742891,1,510.53506
56.742891,1,511.624899
56.729318,1,512.595098
57.152657,1,513.550087
56.769122,1,514.653276
57.604793,1,515.723898
56.7353,1,516.61718
56.749846,1,517.693526
56.891395,1,518.630258
57.012925,1,519.514697
56.731338,1,520.693542
57.205657,1,521.705178
56.776224,1,522.577231
57.224851,1,523.666454
57.545489,1,524.557545
56.711135,1,525.705393
57.11411,1,526.607721
57.469665,1,527.499014
56.767904,1,528.560051
56.787133,1,529.82609
56.760508,1,530.809669
56.731512,1,531.852989
57.518119,1,532.977083
57.209819,1,534.025532
57.04014,1,535.004419
56.739637,1,536.117617
56.74913,1,537.004992
56.741304,1,537.933954
57.114269,1,539.001686
56.980405,1,540.061828
56.742123,1,540.909057
56.756691,1,541.901053
56.734968,1,542.762719
56.826837,1,543.721528
56.737508,1,544.702764
56.750221,1,545.855803
56.714198,1,546.740248
56.953937,1,547.823959
57.333584,1,548.709684
57.335357,1,549.714782
