time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/std,train/n_updates,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length
252,256,56.73606656,1,1.0,1,,,,,,,,,,,,,
510,512,56.73593205,1,1.0,2,0.0,0.2222020505927503,0.2,0.90625,2.153769016265869,10,29.430893,533.9400716841221,-33.640372133255006,0.05,3.372427225112915,,
755,768,56.95707824,1,1.0,3,0.0,0.30538388788700105,0.2,0.975,11.345083236694336,20,32.565475,1.4600827927984938,-57.703982543945315,0.05,-3.381892442703247,,
994,1024,58.76912497999999,1,1.0,4,0.0,0.277014440135099,0.2,0.967578125,47.6884880065918,30,17.548069,0.39351352378726007,-89.5923448562622,0.05,-4.691431045532227,,
1230,1280,59.95751284000001,1,1.0,5,0.0,0.1319248341023922,0.2,0.88984375,74.48844909667969,40,2.540084,1.9622339680790901,-109.13814678192139,0.05,-4.414397239685059,,
1481,1536,60.895406920000006,1,1.0,6,0.0,0.006717098876833916,0.2,0.83125,87.72913360595703,50,2.0795665,0.9325513914227486,-114.85487842559814,0.05,-5.3276591300964355,,
1729,1792,61.38506750999999,1,1.0,7,0.0,0.01892262315377593,0.2,0.796484375,119.45562744140625,60,2.1358101,0.8266809076070786,-118.94779720306397,0.05,-5.643954753875732,,
,2048,,,,,0.0,-0.037516158213838934,0.2,0.741796875,125.76017761230469,70,0.72915745,0.976944574713707,-122.73088054656982,0.05,-5.279799461364746,62.2346826,1.0
1982,2048,61.80453761,1,1.0,8,,,,,,,,,,,,,
2218,2304,62.071040360000005,1,1.0,9,0.0,-0.023800300736911594,0.2,0.786328125,136.2738037109375,80,0.50779337,0.90972670763731,-123.93093280792236,0.05,-5.779996395111084,,
2453,2560,62.07607449,1,1.0,10,-1.1920928955078125e-07,-0.026374234934337437,0.2,0.78515625,143.1829376220703,90,0.50966525,0.4807614006102085,-125.04645290374756,0.05,-6.076384544372559,,
2687,2816,62.30855778,1,1.0,11,0.0,-0.025001655588857828,0.2,0.779296875,159.31358337402344,100,0.54877436,0.5475154176354409,-125.6815767288208,0.05,-5.955366134643555,,
2923,3072,62.431119150000015,1,1.0,12,0.0,-0.01500527230091393,0.2,0.719140625,171.68394470214844,110,0.5193629,0.43340546563267707,-126.70143375396728,0.05,-6.253878593444824,,
3207,3328,62.46208091,1,1.0,13,1.1920928955078125e-07,-0.04043870810419321,0.2,0.700390625,174.9602813720703,120,0.30197132,0.38137564063072205,-127.06545200347901,0.05,-6.167413234710693,,
3525,3584,62.34510658999999,1,1.0,14,0.0,-0.06800466058775782,0.2,0.578125,174.97105407714844,130,0.07816347,0.4104697749018669,-127.15242729187011,0.05,-6.2417168617248535,,
