Precios Iniciales Tienda 1;35,99;25,99;39,99;65,99;31,99;56;89,99;61,99;39,99;21,99
Precios Iniciales Tienda 2;35,99;22,99;37,99;69,99;30,99;61,99;85,99;61,99;39,99;21,99
