semana_año;producto_idx;tienda_idx;precio_optimo;pedido_optimo_sem1_horizonte;demanda_promedio_sem1_horizonte;shortage_promedio_sem1_horizonte;inventario_inicial_sem1_horizonte;inventario_final_sem1_horizonte
1;0;0;34,562447;-5,841469494727306e-11;1358,56;0,0;3404,0;2045,4399999998952
1;0;1;33,512516;0,0;1708,97;0,0;4121,0;2412,0299999999997
1;1;0;103,96;0,0;788,91;0,0;8666,0;7877,09
1;1;1;103,96;0,0;924,37;0,0;10096,0;9171,63
1;2;0;34,556202;4144,3449999999975;2150,715;0,0;5695,0;7688,629999999999
1;2;1;64,729294;0,0;1104,15;0,0;5021,0;3916,85
1;3;0;55,4316;0,0;849,65;0,0;2235,0;1385,35
1;3;1;55,4316;0,0;674,045;0,0;1721,0;1046,955
1;4;0;127,95999;0,0;674,19;0,0;12503,0;11828,81
1;4;1;127,95999;0,0;598,1;0,0;9719,0;9120,9
1;5;0;47,039997;0,0;1393,47;0,0;3345,0;1951,53
1;5;1;47,039997;0,0;1324,505;0,0;3205,0;1880,495
1;6;0;66,14265;0,0;2606,025;0,0;6582,0;3975,975
1;6;1;66,14265;0,0;2769,67;0,0;7579,0;4809,33
1;7;0;48,817123;0,0;1886,53;0,0;5240,0;3353,47
1;7;1;67,958984;0,0;1546,37;0,0;5087,0;3540,63
1;8;0;34,011494;0,0;2599,2;0,0;6206,0;3606,8
1;8;1;74,61904;0,0;1100,92;0,0;5817,0;4716,08
1;9;0;87,95999;0,0;1198,31;0,0;10813,0;9614,69
1;9;1;87,95999;0,0;1535,955;0,0;13811,0;12275,045
