semana_año;producto_idx;tienda_idx;precio_optimo;pedido_optimo_sem1_horizonte;demanda_promedio_sem1_horizonte;shortage_promedio_sem1_horizonte;inventario_inicial_sem1_horizonte;inventario_final_sem1_horizonte
1;0;0;38.68964990139965;0.0;1888.925;0.0;3404.0;1515.0749999998986
1;0;1;40.40961351699575;0.0;2318.8;0.0;4121.0;1802.2
1;1;0;19.66417065058323;0.0;5365.35;0.0;8666.0;3300.65
1;1;1;21.204772303297652;0.0;6210.315;0.0;10096.0;3885.6849999997166
1;2;0;28.347288445451525;0.0;122.0;0.0;5695.0;5573.0
1;2;1;29.798466995375954;0.0;3159.21;0.0;5021.0;1861.789999999856
1;3;0;80.74276751962104;0.0;1252.765;0.0;2235.0;982.234999999933
1;3;1;77.59468280314043;0.0;1007.22;0.0;1721.0;713.7799999999495
1;4;0;19.299230624807183;0.0;0.0;0.0;12503.0;12503.0
1;4;1;22.532721233162956;0.0;303.0;0.0;9719.0;9416.0
1;5;0;55.07939486292134;0.0;2146.11;0.0;3345.0;1198.8899999999078
1;5;1;56.51695611063307;0.0;2006.68;0.0;3205.0;1198.3199999999151
1;6;0;98.51266426379895;0.0;4056.975;0.0;6582.0;2525.0249999998177
1;6;1;99.32594965766201;0.0;4383.08;0.0;7579.0;3195.91999999977
1;7;0;51.170482523082605;0.0;3255.69;0.0;5240.0;1984.309999999857
1;7;1;53.16346331230347;0.0;3828.725;0.0;5087.0;1258.2749999998666
1;8;0;50.84653944012531;0.0;3243.76;0.0;6206.0;2962.2399999998256
1;8;1;51.58015197189643;0.0;3098.815;0.0;5817.0;2718.1849999998312
1;9;0;26.757689239914132;0.0;5577.245;0.0;10813.0;5235.754999999678
1;9;1;29.389943707333416;0.0;6956.535;0.0;13811.0;6854.464999999581
2;0;0;23.38417191638692;0.0;0.0;1281.7050000001043;1515.0749999998986;1515.0749999998986
2;0;1;24.054950230393725;0.0;0.0;1600.369999999994;1802.2;1802.2
2;1;0;25.141564701844892;2214.35;5014.66;82.815;3300.65;500.3399999999975
2;1;1;28.893625525367437;3517.3150000002834;7130.44;18.045;3885.6849999997166;272.55999999999915
2;2;0;58.08354061749962;-8.399187507807108e-11;4311.745;0.0;5573.0;1261.254999999865
2;2;1;54.96415272655917;917.210000000144;2467.965;12.29;1861.789999999856;311.0350000000004
2;3;0;85.06411869543606;541.765000000067;1471.695;1.73;982.234999999933;52.3049999999998
2;3;1;81.55770441053158;368.2200000000505;972.755;5.615;713.7799999999495;109.24500000000032
2;4;0;34.28178990940379;-3.0837134407601944e-10;6590.86;0.0;12503.0;5912.139999999651
2;4;1;36.98283768520786;0.0;8213.8;29.175;9416.0;1202.2
2;5;0;53.7002819774462;1141.1100000000922;2137.265;47.09;1198.8899999999078;202.73500000000007
2;5;1;57.03348454454835;1457.6800000000849;2584.715;7.11;1198.3199999999151;71.28500000000076
2;6;0;96.11227828487525;2008.9750000001823;4065.4;32.01;2525.0249999998177;468.6
2;6;1;93.46447096341072;2242.08000000023;5251.23;8.465;3195.91999999977;186.76999999999782
2;7;0;97.89988990804257;1619.690000000143;3106.655;9.46;1984.309999999857;497.3450000000007
2;7;1;97.47910134950764;1057.7250000001334;2002.63;6.04;1258.2749999998666;313.3699999999998
2;8;0;24.69720359442185;0.0;0.0;2289.0850000001806;2962.2399999998256;2962.2399999998256
2;8;1;21.813043109114886;0.0;0.0;1422.7050000001718;2718.1849999998312;2718.1849999998312
2;9;0;29.293272643240165;1146.2450000003219;5437.685;35.085;5235.754999999678;944.3149999999963
2;9;1;30.768039796754366;2381.535000000419;8722.165;16.2;6854.464999999581;513.8349999999984
3;0;0;41.765168452210574;1677.9250000001014;2852.785;18.66;1515.0749999998986;340.21500000000026
3;0;1;44.233411988403944;687.8;2208.765;13.725;1802.2;281.23499999999996
3;1;0;23.78018050875077;4973.660000000003;5028.365;124.12;500.3399999999975;445.63500000000363
3;1;1;24.430473475464105;7398.4400000000005;7447.56;44.07;272.55999999999915;223.4399999999974
3;2;0;60.29237573398626;2259.745000000135;3282.545;7.59;1261.254999999865;238.45499999999979
3;2;1;62.52927910933996;2858.9649999999997;2946.53;5.335;311.0350000000004;223.47000000000034
3;3;0;44.62429450111015;0.0;0.0;2430.3450000000057;52.3049999999998;52.3049999999998
3;3;1;45.44450849435967;0.0;0.0;1286.965000000003;109.24500000000032;109.24500000000032
3;4;0;43.57466682462632;5531.860000000349;10190.92;67.975;5912.139999999651;1253.0799999999972
3;4;1;45.89033633713574;5349.8;6269.96;12.3;1202.2;282.0400000000004
3;5;0;61.12590652761765;2840.265;2875.265;16.93;202.73500000000007;167.73500000000024
3;5;1;58.870258315135814;2531.7149999999992;2531.13;6.715;71.28500000000076;71.8699999999998
3;6;0;123.92346966896778;3506.4;3740.71;7.315;468.6;234.29000000000042
3;6;1;125.05566866203037;5042.230000000002;4769.545;10.645;186.76999999999782;459.45499999999856
3;7;0;72.95178416814669;3025.6549999999993;3329.725;9.685;497.3450000000007;193.27499999999782
3;7;1;75.67530252650106;2905.63;3051.19;5.425;313.3699999999998;167.80999999999852
3;8;0;24.95392439459472;0.0;0.0;3517.7900000001664;2962.2399999998256;2962.2399999998256
3;8;1;21.950317975333782;0.0;0.0;2481.970000000174;2718.1849999998312;2718.1849999998312
3;9;0;28.894762635649;6500.685000000004;7041.48;19.41;944.3149999999963;403.51999999999947
3;9;1;31.687638839036456;8574.165;8635.17;23.295;513.8349999999984;452.83000000000004
4;0;0;49.89758871050524;2621.785;2617.465;12.175;340.21500000000026;344.53499999999894
4;0;1;48.734723512224285;2492.765;2653.065;5.58;281.23499999999996;120.93499999999995
4;1;0;33.5430322249673;4822.364999999996;4649.965;29.005;445.63500000000363;618.0350000000003
4;1;1;37.116856427695886;5687.560000000002;5280.725;21.7;223.4399999999974;630.2749999999999
4;2;0;56.69020048218858;2838.545;2640.38;14.175;238.45499999999979;436.6200000000001
4;2;1;57.286590970377716;3176.5299999999997;3136.19;7.025;223.47000000000034;263.80999999999904
4;3;0;53.11891172018265;1976.6950000000002;2009.7;17.42;52.3049999999998;19.3
4;3;1;55.428394442463066;1494.7549999999997;1562.355;15.56;109.24500000000032;41.64500000000043
4;4;0;34.216286183632974;5858.920000000003;6481.295;66.245;1253.0799999999972;630.7050000000025
4;4;1;36.1700976961842;5737.959999999999;5497.675;44.495;282.0400000000004;522.3250000000004
4;5;0;38.46510028849686;0.0;0.0;2948.8750000000105;167.73500000000024;167.73500000000024
4;5;1;41.502306366977805;2863.13;2928.415;97.995;71.8699999999998;6.584999999998389
4;6;0;92.18930295377771;5142.709999999999;5128.83;11.665;234.29000000000042;248.16999999999916
4;6;1;91.44496179225564;5057.545000000002;5360.37;12.915;459.45499999999856;156.62999999999982
4;7;0;104.51807205305143;2435.725000000002;2439.23;4.935;193.27499999999782;189.7699999999998
4;7;1;108.02920021092828;1911.1900000000014;1791.18;3.57;167.80999999999852;287.82000000000016
4;8;0;42.983900490403386;3180.7600000001744;5390.71;82.38;2962.2399999998256;752.2900000000017
4;8;1;45.011931884775436;1682.8150000001688;4130.595;14.8;2718.1849999998312;270.4049999999994
4;9;0;28.407108603583588;5775.4800000000005;5362.755;32.725;403.51999999999947;816.2450000000017
4;9;1;31.66112735961056;13485.17;11258.655;105.12;452.83000000000004;2679.344999999993
